sector,camera,ccd,cut,objid,eventid,xccd,yccd,snr_psf,psf_like,psf_stacked,frame_duration,variable,gaia_id,gaia_color,dx,dy
36,4,2,35,6,215,741,1139,181.9004,0.999036,1,15,1,5478980691635060608,0.838664,-0.01883668,-0.0008249602
36,4,2,35,37,35,660,1252,18.78301,0.9917161,1,22,1,5478939391229859200,0.778227,-0.07915672,0.08519938
36,4,2,35,45,8,646,1081,60.9519,0.9989076,1,23,1,5478849299995997568,0.63193,0.001600164,0.025243
36,4,2,35,45,15,646,1081,58.55776,0.9986152,1,23,1,5478849299995997568,0.63193,0.005682286,0.02295646
36,4,2,35,45,16,646,1081,56.17243,0.9988587,1,22,1,5478849299995997568,0.63193,-0.006264445,0.02527199
36,4,2,35,45,18,647,1081,50.2271,0.9980186,1,19,1,5478849299995997568,0.63193,0.008197851,0.01500092
36,4,2,35,45,20,646,1081,63.41977,0.9984916,1,23,1,5478849299995997568,0.63193,-0.04108589,0.02523573
36,4,2,35,45,21,646,1081,70.67972,0.9988625,1,22,1,5478849299995997568,0.63193,-0.01954983,0.02525884
36,4,2,35,45,23,646,1081,68.91823,0.9988865,1,22,1,5478849299995997568,0.63193,-0.02270172,0.02124701
36,4,2,35,489,1,715,1085,14.95759,0.9897849,1,27,0,5479061093423101440,2.894903,-0.03875125,-0.01023375
36,4,2,35,489,2,715,1086,17.13749,0.9924701,0,3,0,5479061093423101440,2.894903,-0.04222554,0.0890042
36,4,2,35,489,3,715,1085,6.754325,0.9577194,0,8,0,5479061093423101440,2.894903,-0.02773094,0.01021056
36,4,2,35,489,4,715,1086,8.230126,0.9646374,0,2,0,5479061093423101440,2.894903,-0.03875402,0.0890042
36,4,2,35,535,1,594,1272,72.03031,0.9977095,0,15,0,5478730243502292736,3.476761,-0.05874609,0.1198679
36,4,2,35,535,2,594,1272,11.80693,0.9864437,1,2,0,5478730243502292736,3.476761,-0.01903531,0.1010276
36,4,2,35,629,1,672,1166,8.902403,0.9149466,1,2,0,5478955437225698176,2.334692,0.04525819,0.03318231
36,4,2,36,546,1,933,1195,6.875946,0.9801376,1,6,0,5480078347837993344,3.069807,0.04827618,0.04790333
36,4,2,36,546,2,933,1195,4.809207,0.9633627,1,3,0,5480078347837993344,3.069807,-0.06281167,0.1655461
36,4,2,36,828,1,1045,1266,5.577848,0.9612048,1,3,0,5483159381279414656,2.796365,-0.09711372,0.0573039
36,4,2,36,864,1,1017,1060,10.29421,0.9799356,1,8,0,5480193899637577984,2.889353,0.02708379,0.0350562
36,4,2,37,6,203,1112,1028,39.74094,0.996754,1,8,1,5480301514337805696,1.080873,-0.07669592,0.0584755
36,4,2,37,6,236,1112,1028,44.44698,0.9980381,1,9,1,5480301514337805696,1.080873,-0.07392886,0.02719457
36,4,2,37,6,237,1112,1028,35.69947,0.9964382,1,8,1,5480301514337805696,1.080873,-0.09494725,0.03421241
36,4,2,37,31,25,1091,1024,30.06287,0.9972401,1,11,1,5480287839161966080,1.273202,0.04794127,0.02143613
